AppleOpeningPrice,MicrosoftOpeningPrice
150.16,241.43
148.13,243.59
149.45,245.11
148.31,247.31
145.14,246.08
144.29,241.40
141.40,240.57
148.21,253.87
145.96,249.82
147.77,252.01
147.07,250.82
142.19,244.83
142.36,244.84
142.34,244.70
142.70,247.45
149.50,261.69
145.35,257.13
141.11,253.72
136.69,248.55
135.11,244.86
131.39,239.40
132.98,241.69
134.35,241.26
130.92,236.11
131.38,238.70
129.67,236.89
127.99,235.65
128.41,238.21
130.28,243.08
126.89,232.28
127.13,227.20
126.01,223.00
130.47,226.45
130.26,227.76
131.25,231.29
133.88,235.26
132.03,237.00
134.83,237.97
136.82,241.57
134.08,233.78
135.28,234.86
138.12,241.10
140.31,242.50
140.89,234.48
143.17,243.65
143.16,248.99
144.96,244.51
142.70,243.45
143.97,248.00
148.90,258.82
148.03,259.54
152.57,257.44
150.64,260.53
153.88,273.20
153.78,273.80
149.46,261.53
150.95,267.64
152.12,272.67
153.11,268.32
153.51,264.02
152.35,259.39
150.20,254.48
148.87,254.09
150.09,255.56
147.11,249.96
147.71,252.46
147.05,249.07
146.83,250.76
144.38,246.55
148.04,252.19
153.79,256.43
153.70,256.30
152.81,254.04
153.56,255.82
150.21,251.08
147.81,247.40
151.28,256.75
151.19,259.98
152.16,265.21
156.08,278.26
155.07,276.98
157.32,274.88
159.30,273.40
158.83,277.94
158.86,277.24
159.94,280.50
157.97,275.79
159.37,278.96
161.53,284.23
162.44,283.73
164.27,286.52
166.60,287.23
164.74,285.85
162.43,283.21
161.42,289.21
162.35,285.75
161.22,284.79
161.63,283.59
164.59,287.00
165.09,289.93
166.10,291.57
165.80,285.99
166.09,285.25
165.05,285.01
165.00,282.09
165.19,279.51
163.06,296.70
165.19,295.97
168.49,304.01
169.28,306.97
170.09,307.76
169.50,306.62
164.89,306.24
170.98,305.72
172.48,310.13
173.05,308.00
173.02,308.62
173.85,310.10
173.62,310.55
173.16,309.10
171.99,309.83
171.71,312.29
173.00,314.53
176.39,316.74
173.98,318.60
173.13,320.03
171.09,314.73
172.41,323.24
173.32,324.02
176.96,335.23
177.33,332.29
177.70,325.93
181.03,334.25
182.63,335.22
179.97,335.33
178.44,331.65
177.90,323.94
181.50,324.99
181.27,328.58
182.80,334.47
183.37,334.34
183.96,337.48
186.73,351.32
184.41,339.31
184.90,336.37
183.74,334.12
185.55,334.36
186.83,333.72
185.89,331.86
187.93,334.66
189.08,334.71
191.63,337.75
193.78,339.19
191.57,335.09
189.84,337.30
191.41,339.32
189.26,334.60
189.16,331.06
189.68,336.60
190.50,339.56
190.23,347.59
191.90,345.68
193.35,345.83
193.10,361.75
195.09,353.57
194.10,349.15
193.41,345.85
193.33,347.11
193.67,341.44
196.02,340.48
194.67,333.67
196.06,336.92
196.24,335.19
195.04,333.63
191.57,326.00
185.52,331.88
182.13,328.37
179.69,326.96
180.87,326.47
179.48,326.02
177.32,320.26
177.97,321.39
178.88,323.00
177.13,320.80
177.14,320.54
172.30,314.49
175.07,317.93
177.06,325.50
178.52,323.82
180.67,332.85
177.38,321.47
180.09,325.66
179.70,321.88
184.94,328.67
187.84,329.20
189.49,331.31
188.28,329.00
188.40,333.38
175.18,331.29
178.35,330.09
180.07,337.24
179.49,335.82
176.51,331.31
174.00,339.15
176.48,336.92
176.48,327.80
177.52,326.17
179.26,329.51
174.55,319.26
174.67,321.32
174.20,316.59
174.82,315.13
172.62,312.30
169.34,310.99
172.02,317.75
171.22,316.28
172.26,320.83
171.09,314.03
173.79,319.09
173.80,316.55
176.81,324.75
178.10,330.96
178.20,331.21
180.07,330.57
181.42,332.38
176.75,331.05
176.65,329.59
175.58,332.49
176.04,332.15
175.31,331.72
170.91,325.47
173.05,331.30
171.88,345.02
170.37,340.54
166.91,330.43
169.02,333.41
169.35,338.85
171.00,339.79
175.52,347.24
174.24,349.63
176.38,353.45
179.18,359.40
182.35,361.68
182.96,362.30
183.97,361.49
185.82,368.22
187.70,371.01
187.85,371.28
189.57,370.96
190.25,373.61
189.89,371.22
